Date,Comm-Chan-20-0.015,Williams-R-14,Dif-Aroon-25,MFI-14,Adj Close-RSI-14,Clase
2015-10-26,85.1093942641528,-141.17965925588913,80.0,81.49127156976029,77.03424410817462,0
2015-10-27,64.98125344265158,-179.54322942110102,80.0,72.52167544715095,60.08823339924088,0
2015-10-28,61.31344245904643,-200.09844984135609,80.0,72.74815263500736,62.21920393894757,0
2015-10-29,45.58729034325284,-208.9325789129745,80.0,66.42663757454882,56.95598743851174,0
2015-10-30,42.247058685910574,-211.14157629823896,80.0,65.27588262243013,55.599008217101996,0
2015-11-04,157.4217199158312,-132.78120246453713,96.0,65.89472868642389,74.9092590516223,0
2015-11-05,126.37579902310594,-141.59337195534633,92.0,69.10431375495071,67.636003840449,0
2015-11-06,97.66258706002193,-160.85346796063172,88.0,72.16599553213635,68.22913117154566,0
2015-11-09,12.89300806402899,-216.36484276729524,84.0,63.706906187538806,44.42674563854684,-1
2015-11-10,-40.25641868438743,-231.8792000000002,76.0,56.49334830648748,43.50508856059555,0
2015-11-11,-23.666459971373254,-232.51166666666686,76.0,49.34228257621707,43.24655425325782,0
2015-11-12,-65.45218495172959,-234.88100628930778,72.0,49.36070402283872,36.69706294044924,0
2015-11-13,-131.01095834073558,-192.22348623853213,-28.0,39.76579532401011,27.746219684985174,0
2015-11-17,-73.68287145289798,-167.3911926605507,-28.0,38.350802833567116,45.84524470521666,1
2015-11-18,-16.65112579510423,-154.32201834862403,-28.0,39.685196405941795,52.99538165439065,0
2015-11-19,16.92864829143929,-146.91623853211004,-28.0,45.81051406260833,56.73070445655208,0
2015-11-20,50.684176842631935,-134.71811926605514,-27.999999999999993,43.64324973902648,62.408130877701296,0
2015-11-23,45.343285962241396,-139.94550458715602,-28.0,44.167594260571256,58.60578415130455,-1
2015-11-24,-2.0005135437412003,-149.09412844036714,-28.0,43.63053259369417,52.185166887166034,0
2015-11-25,-63.25898026441858,-172.02767112723956,-28.0,33.870005458733516,41.05088673953396,0
2015-11-26,-55.01238849600703,-166.86720153326254,-28.0,37.20195111506182,48.4050824483786,0
2015-11-27,-74.84817118966086,-177.37765121908217,-28.0,27.1521972291942,43.797565495723234,0
2015-11-30,-118.38481939146803,-211.18971119225375,-68.0,26.679244693955,31.053548959019924,0
2015-12-01,-91.5025580602416,-184.27091284129222,-68.0,38.452608732365995,44.2378632199124,0
2015-12-02,-107.08419093236692,-209.05318681318656,-76.0,39.407683173679956,35.34684359210487,0
2015-12-03,-147.94497703788866,-172.1848990207445,-80.0,39.02804224893369,30.613932010652473,0
2015-12-07,-154.89537164323454,-175.79693297114585,-84.0,41.69490053319322,26.800169239163466,0
2015-12-08,-163.42073198589955,-164.68391761484241,-88.0,31.010823560805207,22.937778239997783,0
2015-12-09,-130.2035713034169,-158.8011646814951,-88.0,31.811263383845386,27.357609665625674,1
2015-12-10,-114.93768276460725,-157.52648325987724,-88.0,31.512069217955045,28.61704922332111,0
2015-12-11,-116.00295972463539,-158.41252307692304,-92.0,26.907525935887378,23.264220166850045,0
2015-12-14,-119.6880795011615,-146.6854674561755,-96.0,25.979126871349337,22.422742488037706,0
2015-12-15,-52.37255890516509,-118.55522883924458,-60.0,44.32758404669641,49.369115582559836,0
2015-12-16,-13.332883260406097,-104.27453924914659,-60.0,51.815924805330425,57.402856281643935,0
2015-12-17,5.690246594526217,-100.39151050970457,-60.0,53.89085615810095,59.2674297481408,0
2015-12-18,-20.156120381364982,-119.65794223826713,-60.0,52.372845469957234,47.963428652178514,0
2015-12-21,-11.744081823057616,-114.76938223938207,-60.0,58.69041523900336,51.22214926699093,0
2015-12-22,13.615547738649402,-108.24230146785062,-60.0,58.09208434708499,54.6887783481132,0
2015-12-23,33.5337120268426,-98.83137439366982,-60.0,62.06141642930753,59.32184999728008,0
2015-12-24,40.88876928660045,-102.10283081302056,-60.0,63.81795629153463,57.16395285241911,0
2015-12-28,30.593539823792625,-106.7276337101853,-60.0,64.18916585903014,53.962075479669956,0
2015-12-29,40.01555097068594,-107.1374187661642,-56.0,70.71550349219703,53.6548183519107,-1
2015-12-30,7.001518527157022,-123.09706171926024,-52.00000000000001,63.22276878491527,42.72304775703978,0
2015-12-31,-8.467055434874975,-120.64225695943563,-44.0,62.57386254935454,44.721881735491465,0
2016-01-04,-92.8176686568317,-158.29115168141433,-44.0,62.603729676074195,27.647721573205132,0
2016-01-05,-95.9655719290655,-166.4630666666669,-40.0,60.07625428601715,26.87530602859587,0
2016-01-06,-120.72000583051829,-182.56617777777788,-92.0,42.831622526072074,22.320264974213174,0
2016-01-07,-172.31026101439684,-152.50556492038953,-96.0,30.532495122854684,14.489905055067082,1
2016-01-08,-157.9209039420441,-147.85997065942777,-40.0,22.30443105164457,12.596075783355449,0
2016-01-11,-116.48347627449148,-134.97433510738935,-39.99999999999999,33.143342424655955,26.757214032849955,0
2016-01-12,-98.08618030501742,-128.53170652076386,-40.0,33.387171223985675,33.018021657072055,0
2016-01-14,-81.92929815587118,-119.51191298585198,-40.0,32.2177338456851,41.145019298396555,0
2016-01-15,-94.84385360490076,-130.67660199273834,-40.0,24.334920513453483,35.10661044134132,0
2016-01-18,-92.42846056680696,-140.05672886163472,-40.0,24.213422022560934,31.397535538491884,0
2016-01-19,-71.6545740679811,-135.4780244164049,-40.0,30.369033254358712,35.83027308664659,0
2016-01-20,-77.66575909315424,-127.29920643624483,-40.0,39.214544522398626,37.20764301499776,0
2016-01-21,-46.834328762207086,-119.46740447034813,-40.0,46.1514797091162,46.02768073806746,0
2016-01-22,-9.606659899603127,-107.7034426229508,-40.0,47.89349429287817,55.97406912571274,0
2016-01-25,-9.707338995655677,-115.56274342389034,-40.0,47.909420735604755,52.119389905037046,0
2016-01-26,15.438767457183603,-98.48905589106406,-40.00000000000001,54.22883600812223,60.70598608620256,0
2016-01-27,41.49399687157314,-91.01883064516107,-40.0,61.298267981341304,64.08408001722246,0
2016-01-28,67.89183682751174,-80.94474708171212,-40.0,71.39733175643657,68.46374151313655,0
2016-01-29,146.63848798016505,-57.533038122231936,56.0,81.46104492863117,80.3882379292237,0
2016-02-02,131.18689888277257,-69.60572858029151,56.0,72.29401788525149,68.31800169334593,-1
2016-02-03,120.66960066034045,-65.90988783201229,56.0,73.25184360875713,69.91369423944649,0
2016-02-04,140.93270775022054,-59.08701388888894,68.0,74.77395475976738,74.54822534110077,0
2016-02-05,102.52055713940095,-70.34407407407416,68.0,79.45512816734235,62.49480695661281,0
2016-02-08,57.779133921106705,-80.05567129629627,68.0,76.01430799241886,53.83082500344879,0
2016-02-09,36.70217280455644,-87.78122685185188,68.0,69.93806969847091,47.75407947050012,0
2016-02-10,39.94424034279701,-99.97575343794321,68.0,68.9104861530862,50.51636917134612,0
